school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1
0,0,3,1,0,0,4,4,0,4,0,1,1,1,0,1,0,0,0,1,1,0,0,3,2,3,0,0,2,6,2
0,0,2,1,0,1,1,1,0,2,0,0,0,1,0,0,1,0,0,0,1,1,0,4,2,2,0,0,2,4,2
0,0,0,1,1,1,1,1,0,2,2,1,0,1,3,1,0,1,0,1,1,1,0,3,2,1,1,2,2,10,4
0,0,0,1,0,1,4,2,1,3,1,1,0,2,0,0,1,1,1,1,1,1,1,2,1,1,0,0,4,2,12
0,0,1,1,0,1,3,3,2,2,1,0,0,1,0,0,1,1,0,1,1,0,0,3,2,1,0,1,4,4,3
0,1,1,1,1,1,4,3,3,2,3,1,0,1,0,0,1,1,1,1,1,1,0,4,3,1,0,1,4,10,12
0,1,1,1,1,1,2,2,2,2,1,1,0,1,0,0,0,0,0,1,1,1,0,3,3,3,0,0,2,0,9
0,0,2,1,0,0,4,4,2,4,1,1,1,1,0,1,1,0,0,1,1,0,0,3,0,3,0,0,0,6,3
0,1,0,1,1,0,3,2,3,2,1,1,0,1,0,0,1,1,0,1,1,1,0,3,1,1,0,0,0,0,13
0,1,0,1,0,1,3,4,2,2,1,1,0,1,0,0,1,1,1,1,1,1,0,4,4,0,0,0,4,0,11
0,0,0,1,0,1,4,4,4,1,3,1,0,1,0,0,1,1,0,1,1,1,0,2,2,2,0,1,1,0,7
0,0,0,1,0,1,2,1,3,2,3,0,2,2,0,0,1,0,1,1,1,1,0,4,1,1,0,0,3,4,7
0,1,0,1,1,1,4,4,1,3,0,0,0,0,0,0,1,1,1,1,1,1,0,3,2,2,0,2,4,2,11
0,1,0,1,0,1,4,3,4,2,0,1,1,1,0,0,1,1,0,1,1,1,0,4,3,2,0,1,2,2,7
0,1,0,1,0,0,2,2,2,2,1,2,0,2,0,0,1,0,0,1,1,1,1,3,4,1,0,0,2,0,11
0,0,1,1,0,1,4,4,1,2,1,1,0,0,0,0,1,0,0,1,1,1,0,3,3,3,0,1,1,4,11
0,0,1,1,0,1,4,4,3,3,3,1,0,2,0,0,1,1,1,1,1,1,0,2,1,2,0,1,1,6,10
0,0,1,1,0,1,3,3,2,2,3,1,2,1,0,1,1,0,1,1,1,0,0,4,2,1,0,0,3,4,5
0,1,2,1,0,1,3,2,3,3,0,1,0,0,3,0,1,0,1,1,1,1,0,4,4,4,1,3,4,16,3
0,1,1,1,1,1,4,3,1,2,1,0,0,0,0,0,0,1,1,1,1,1,0,2,0,2,0,2,4,4,5
0,1,0,1,0,1,4,3,4,2,3,1,0,1,0,0,0,0,0,1,1,1,0,3,3,0,0,0,0,0,10
0,1,0,1,0,1,4,4,1,1,2,0,0,0,0,0,1,1,0,1,1,1,0,4,3,1,0,0,4,0,9
0,1,1,1,1,1,4,2,4,2,0,1,0,1,0,0,0,0,1,1,1,1,0,3,4,0,0,2,4,2,12
0,1,1,1,1,1,2,2,2,2,3,1,1,1,0,0,1,0,1,1,1,1,0,4,3,3,1,3,4,0,10
0,0,0,0,0,1,2,4,3,1,0,1,0,2,0,1,1,1,1,1,1,1,0,3,2,1,0,0,4,2,7
0,0,1,1,0,1,2,2,3,3,1,1,0,0,2,0,1,1,0,0,1,1,0,0,1,1,0,2,4,14,3
0,1,0,1,0,1,2,2,2,2,1,1,0,0,0,0,1,1,0,1,1,1,0,3,1,1,0,1,4,2,9
0,1,0,1,0,1,4,2,1,3,2,1,0,0,0,0,0,1,0,1,1,1,0,1,1,3,1,3,0,4,12
0,1,1,1,1,0,3,4,3,2,1,1,0,1,0,1,1,0,1,1,1,1,0,4,2,2,0,0,4,4,8
0,1,1,1,0,1,4,4,4,4,1,1,0,1,0,0,1,1,1,1,1,1,1,3,3,4,4,4,4,16,7
0,1,0,1,0,1,4,4,1,3,1,1,0,1,0,0,1,1,0,0,1,1,0,4,3,1,2,3,4,0,6
0,1,0,1,0,1,4,4,3,3,3,1,1,1,0,0,1,0,1,1,1,1,0,3,2,0,0,0,4,0,14
0,1,0,0,0,1,4,3,4,0,0,1,0,1,0,0,1,0,1,1,1,1,1,3,4,1,0,0,4,0,14
0,1,0,1,1,1,3,3,2,2,0,1,0,1,0,0,0,0,1,0,1,1,0,4,2,1,0,0,1,0,5
0,1,1,1,0,1,3,2,2,2,1,1,0,0,0,0,1,1,0,0,1,1,0,4,3,2,0,0,4,0,9
0,0,0,1,0,1,2,3,2,2,2,0,1,0,0,0,1,0,1,1,1,0,0,2,4,0,0,0,4,0,5
0,1,0,1,1,1,4,3,4,3,1,1,0,2,0,0,1,0,1,1,1,1,0,4,3,2,0,0,3,2,12
0,1,1,0,0,0,4,4,2,4,3,1,1,2,0,0,1,0,1,1,1,1,1,1,3,2,0,0,4,7,12
0,0,0,0,0,1,3,4,3,1,0,1,0,2,0,1,1,1,1,1,1,1,0,3,2,1,0,0,4,2,9
0,0,0,0,0,1,2,2,0,2,3,1,0,0,0,1,1,1,1,1,1,0,0,3,2,0,0,0,1,8,11
0,0,1,1,1,1,2,2,2,2,1,1,1,1,1,0,1,0,1,0,1,1,1,2,2,2,0,1,2,25,4
0,1,0,1,1,1,4,4,4,2,1,2,0,0,0,0,1,0,0,0,1,1,1,4,3,2,1,3,4,8,9
0,1,0,1,0,1,4,4,3,4,0,0,0,1,0,0,1,0,1,1,1,1,0,3,2,2,0,0,4,2,16
0,1,0,1,0,1,2,2,3,3,0,0,0,0,0,1,1,0,0,1,1,1,0,4,3,0,0,0,0,0,5
0,0,1,1,1,1,2,2,2,0,0,0,1,1,1,1,0,0,1,1,1,1,0,3,2,2,1,1,4,14,7
0,0,0,1,1,0,4,3,2,2,0,1,0,1,0,1,1,1,1,1,1,1,1,4,1,1,0,0,4,8,5
0,0,1,1,1,0,3,3,2,3,1,1,0,1,0,0,1,0,0,1,1,1,0,1,2,4,0,3,2,12,8
0,1,1,1,0,1,4,3,1,3,3,1,0,3,0,0,0,0,1,1,1,1,0,3,1,1,0,0,1,4,16
0,1,0,1,0,1,4,2,4,2,1,1,0,1,0,0,1,1,0,1,1,0,0,3,2,2,1,1,4,2,12
0,0,0,1,0,1,4,4,3,4,2,0,0,1,1,1,1,0,1,0,1,1,0,3,3,3,0,0,2,2,4
0,0,1,1,1,1,2,2,3,3,0,1,2,1,0,0,1,1,0,1,1,1,0,3,2,2,1,2,3,2,9
0,0,0,1,1,1,4,2,1,2,2,1,0,1,0,0,1,1,0,1,1,1,0,3,2,2,0,0,4,2,8
0,1,0,1,1,0,4,2,1,1,2,0,1,0,1,0,0,0,0,1,1,0,0,4,4,4,2,3,4,6,8
0,0,0,1,0,1,4,4,3,3,0,1,0,0,0,1,1,1,0,1,1,1,0,2,2,3,1,2,4,0,5
0,0,0,1,1,0,3,3,2,2,2,1,0,0,0,0,0,1,0,1,1,1,0,4,2,3,3,3,0,6,7
0,0,1,1,0,0,2,1,2,2,2,1,0,1,0,0,0,1,1,1,1,1,1,4,2,3,0,0,1,8,5
0,0,0,1,0,0,4,3,3,3,3,1,0,1,0,0,1,1,1,1,1,1,0,3,2,1,0,0,0,0,11
0,1,0,1,0,1,4,4,4,1,3,1,0,1,0,0,1,0,1,1,1,0,0,2,1,1,0,0,4,4,11
0,1,0,1,1,1,1,2,2,0,1,0,0,1,0,1,1,0,1,1,1,1,0,3,2,1,0,0,4,2,6
0,0,1,1,0,1,4,2,3,2,0,1,0,1,0,0,1,0,0,1,1,1,0,3,1,2,0,0,4,2,12
0,0,1,0,0,1,4,4,1,4,2,1,0,1,0,0,1,0,1,1,1,0,0,1,3,3,1,2,3,6,7
0,0,1,1,0,1,1,1,3,3,0,0,3,0,0,1,1,0,1,0,1,1,1,4,4,4,4,4,4,6,7
0,0,1,1,1,1,1,2,2,3,3,0,0,1,0,1,0,0,1,1,1,1,0,3,3,2,0,0,0,4,5
0,0,1,1,0,1,4,3,4,1,1,1,0,2,0,1,1,1,1,1,1,1,0,2,3,3,1,3,3,2,7
0,0,0,1,1,1,4,3,3,3,3,0,0,1,0,1,0,0,1,1,1,1,1,3,3,3,1,3,1,0,7
0,0,1,1,1,1,4,3,4,3,0,1,2,1,0,0,1,0,1,1,1,1,0,4,3,2,0,1,0,2,13
0,1,0,1,0,0,4,4,2,3,3,1,0,3,0,0,1,0,1,0,1,1,1,0,2,2,4,4,2,4,10
0,0,1,1,0,1,3,1,3,2,0,1,0,3,0,1,1,1,0,1,1,1,0,3,2,2,0,1,4,4,4
0,0,0,0,1,1,2,2,1,3,3,1,1,1,0,1,1,1,0,1,1,1,0,3,0,2,0,2,3,2,5
0,0,0,0,1,1,3,1,2,2,3,0,1,3,0,0,1,0,0,0,1,1,0,3,3,1,1,2,2,12,13
0,1,1,1,0,1,3,1,2,2,3,0,1,3,0,0,1,1,0,1,1,1,0,3,2,1,0,0,4,0,10
0,1,0,1,0,1,4,2,2,2,0,1,0,3,0,0,0,0,0,1,1,1,0,2,2,2,0,0,2,0,7
0,0,0,0,0,1,1,1,2,2,3,1,0,1,2,1,1,0,0,0,1,1,1,2,2,3,1,3,4,2,5
0,1,1,1,0,1,3,1,2,2,3,1,0,0,0,0,0,0,1,1,1,0,0,4,2,1,1,1,4,2,9
0,0,1,1,0,1,3,3,2,3,1,1,0,1,0,1,1,1,1,1,1,1,0,3,2,2,1,3,4,31,8
0,1,0,1,0,1,4,3,4,2,1,1,0,1,0,0,1,1,1,1,1,1,0,3,2,2,1,2,4,6,6
