NewsML,Labels
"The Internet may be overflowing with new technology but crime in cyberspace is still of the old-fashioned variety. The National Consumers League said Wednesday that the most popular scam on the Internet was the pyramid scheme, in which early investors in a bogus fund are paid off with deposits of later investors. The league, a non-profit consumer advocacy group, tracks web scams through a site it set up on the world wide web in February called Internet Fraud Watch at http://www.fraud.org. The site, which collects reports directly from consumers, has been widely praised by law enforcement agencies. ""Consumers who suspect a scam on the Internet have critical information,"" said Jodie Bernstein, director of the Federal Trade Commission's Bureau of Consumer Protection. Internet Fraud Watch ""has been a major help to the FTC in identifying particular scams in their infancy."" In May, for example, the commission used Internet reports to shut down a site run by Fortuna Alliance that had taken in over $6 million, promising investors they could earn $5,000 a month from an initial deposit of $250. Instead, Fortuna kept most of the money, the commission charged. Fraud reports from the league's site, which has been visited over 370,000 times, are forwarded to local, state and federal authorities. The second-most-popular Internet scam, the league said, was the sale of bogus Internet services, such as custom designed web sites or Internet access accounts. In third place were crooks who sell computer equipment, such as memory chips or sound boards, over the net and then deliver significantly lower quality goods or nothing at all, the league said. Other top scams involve business opportunities. Con artists may offer shares in a business or franchise using unreasonable predictions or misrepresentations. One popular scheme promised to let consumers get rich while working at home. The League also announced Tuesday that NationsBank had donated $100,000 to become a sponsor of the Fraud Watch site. ",AaronPressman
"The U.S. Postal Service announced Wednesday a plan to boost online commerce by enhancing the security and reliability of electronic mail traveling on the Internet. Under the plan, businesses and consumers can verify that e-mail has not been tampered with and use services now available for ordinary mail like sending a certified letter. ""The leap from trading messages to buying and selling goods has been blocked by the fear of security threats,"" Robert Reisner, vice president of stategic planning, said.   ""To expand from local area networks and bilateral secure communications to wide use of electronic commerce will require a new generation of security services,"" Reisner said. Cylink Corp is developing a system for the Post Office to use to verify the identity of e-mail senders. The system will enable people to register a digital ""signature"" with the Post Office that can be compared against electronic mail they send. If any tampering is discovered, the Postal Service would investigate, just like it investigates tampering with regular mail, Reisner said.   The Post Office is also using the Internet to enhance non-electronic mail delivery. In conjunction with Sun Microsystems, the Postal Service has also developed a new online system for bulk mailers that relies on Sun's Java computer language, Reisner said. Instead of manually calculating postage rates for bulk mailings, possibly using outdated forms, a bulk mailer will be able to add up the charges using a software application written with Java and posted on the Internet.   Eventually, the Post Office plans to offer hybrid services involving both kinds of mail, Reisner said. Electronic mail could be converted to paper and delivered within one business day, for example. Or someone who moves could register a change of address with the Post Office over the Internet. Critics of the Post Office's Internet plans have said the service is usurping functions that could be better performed by the private sector. But Reisner rejected those arguments, maintaining that the Post Office has often facilitated the spread of new technologies, such as railroads and aircraft.   ""Remember the pilots who returned from World War I and then risked their lives in an even more dangerous duty,"" Resiner said refering to early airmail delivery efforts. ""To keep these daring pilots alive, the Postal Service had to create parts of what we know as the weather service today. Navigation aids had to be developed. We are watching many of these same dynamics today. Earlier experience tells us that this is a public and private job."" --202-898-8312 ",AaronPressman
"Elementary school students with access to the Internet learned more than kids who lacked access, an indepedent research group concluded after conducting a comparative study in seven urban school districts. ""This study dramatically illustrates the positive effects of online use on learning,"" said Michael Casserly, executive director of the Council of Great City Schools, an association of 49 large inner city public school districts which co-sponsored the study along with Scholastic Corp. ",AaronPressman
"An influential Internet organisation has backed away from a proposal to dramatically expand the number of addresses available on the global computer network. The Internet Society, which helps develop and coordinate Internet standards, announced this week that instead of moving ahead with the proposal it would form a nine-member committee to study the issue. Unveiled in August, the proposal was an attempt to quell the growing number of disputes over desirable address names. ""There just seems to be no consensus at all,"" said Don Heath, president of the society. A variety of objections and questions have been raised about the August proposal, from technical networking issues to concerns about protection for trademarks and intellectual property. ""We thought we should try to pull it all together and have a good cross-section of people to discuss it and see if we can't reach a consensus,"" he said. The new committee ought to finish its work by early next year and new names could be doled out four to six months later, Heath said. The committee could decide not to go forward with any address expansion, but Heath said that was an unlikely outcome. ""The facts of life are that people want descriptive names and vanity plates,"" Heath said. Disputes over Internet names are occuring with increasing frequency as more companies seek to publicise and market their products over the Net. For example, Viacom Inc.'s MTV cable music channel fought with one of its employees who had registered ""mtv.com,"" eventually regaining control of the name in an out-of-court settlement. Every site on the World Wide Web must have a unique address name. Most addresses end with one of a few three letter designations, known as top-level domains, including ""com"" for private sites, ""gov for government sites and ""edu"" for sites run by schools. In August, Internet Assigned Numbers Authority said it would oversee the creation of up to 150 new top level domains, easing the squeeze, especially for names in the private sector category. The authority, operating under charter from the society and the Federal Network Council, is the central coordinator of Internet addresses and other standards. The society's board of trustees voted in June to accept a preliminary version of the numbers authority proposal, with the proviso that the business aspects of proposal be fleshed out. But with the ensuing controversy, the society decided a committee was needed to reexamine the proposal, Heath said. The committee will meet confer mostly by telephone and online, though an open forum is planned for mid-December in California. The committee will include two members appointed by the society, two by the numbers authority and two by the Internet Architecure Board. The International Telecommunication Union, the World Intellectual Property Organisation and the International Trademark Association will each appoint one member. ",AaronPressman
"An influential Internet organisation has backed away from a proposal to dramatically expand the number of addresses available on the global computer network. The Internet Society, which helps develop and coordinate Internet standards, announced this week that instead of moving ahead with the proposal it would form a nine-member committee to study the issue. Unveiled in August, the proposal was an attempt to quell the growing number of disputes over desirable address names. ""There has been considerable international debate on various aspects of the proposal with no consensus,"" Don Heath, president of the society, said in a statement. ""It is in the best interest of the continued beneficial evolution of the Internet that these issues be aired and resolved."" Disputes over Internet names are occuring with increasing frequency as more companies seek to publicise and market their products over the Net. For example, Viacom Inc.'s MTV cable music channel fought with one of its employees who had registered ""mtv.com,"" eventually regaining control of the name in an out-of-court settlement. Every site on the World Wide Web must have a unique address name. Most addresses end with one of a few three letter designations, known as top-level domains, including ""com"" for private sites, ""gov for government sites and ""edu"" for sites run by schools. In August, Internet Assigned Numbers Authority said it would oversee the creation of up to 150 new top level domains, easing the squeeze, especially for names in the private sector category. The authority, operating under charter from the society and the Federal Network Council, is the central coordinator of Internet addresses and other standards. The society's board of trustees voted in June to accept a preliminary version of the numbers authority proposal, with the proviso that the business aspects of proposal be fleshed out. But with the ensuing controversy, the society decided a committee was needed to reexamine the proposal, Heath said. The committee will include two members appointed by the society, two by the numbers authority and two by the Internet Architecure Board. The International Telecommunication Union, the World Intellectual Property Organisation and the International Trademark Association will each appoint one member. ",AaronPressman
"A group of leading trademark specialists plans to release recommendations aimed at minimizing disputes over Internet address names. The International Trademark Association is working on a white paper that will be completed in the next few months, David Maher, co-chair of the association's Internet issues committee, said in a telephone interview. ",AaronPressman
"When a company in California sells a book to a consumer in Canada from a Web site hosted on a computer in England, what laws govern the transaction? As sales of all kinds of goods over the Internet continue to grow, questions are multiplying about basic regulations covering consumer protection, taxation and other issues. ""Most commercial law has built in a hidden assumption of geographical boundaries within which certain kinds of actions will occur,"" said Jerry Kaplan, who runs an Internet site called OnSale that auctions electronic merchandise. ""Now the legal system is facing a medium which is inherently boundary-less."" For example, some states tax transactions that originate within their borders while others hope to collect so-called use taxes when their residents buy from out-of-state merchants. ""Sin"" laws on obscenity, gambling and sales of alcohol also differ from state to state and apply to some Web merchants. With the potential for so much confusion, some online mavens argue the federal government should step in and set clear policies. ""The role of the federal government is to set national standards or national policy,"" said Gary Arlen, president of Arlen Communications and a leading analyst of online companies. ""A lot of what we're talking about online transcends state borders and even national borders."" A top priority is protecting consumers' private information. ""More regulation is really needed on the privacy issues compared to other areas,"" said Jonathan Rosenoer, an attorney and author of the online ""Cyberlaw"" column. Existing laws protect some kinds of records, like medical data, but not other information, Rosenoer said. Both real and imagined privacy violations are feeding public sentiment in favour of reform. Lexis-Nexis was deluged with protests last month after word spread that the database company was selling personal information such as social security numbers and maiden names over the Internet. The company responded that its P-TRAK product no longer provided social security numbers and never contained maiden names. But it withdrew the names of thousands of individuals that asked to be deleted. Following the controversey, the Federal Trade Commission asked Congress to amend the Fair Credit Reporting Act, a law governing personal financial information held by credit agencies. The commission suggested the law be extended to cover nonfinancial information like social security numbers. In many cases, however, the federal government is still deciding what steps to take. The Treasury Department, which has a hand in tax policy, banking regulation and international trade, has several groups studying online commerce issues but has not reached any conclusions yet. Top Treasury officials and banking regulators have expressed a desire not to intrude on the nascent market for electronic money. Some banks would like federal rules barring non-banks from issuing electronic money. ""Heavyhanded, pre-emptive attempts to regulate these products before any social risks have been demonstrated would handicap innovation,"" Federal Reserve Gov. Edward Kelley said earlier this month. There is little confusion about criminal scheming online, however. The Federal Trade Commission, Commodity Futures Trading Commission and the Securities and Exchange Commission are all prosecuting online crooks and collecting complaints at their Web sites. ""It's not an area where we need new laws or new authority,"" John Stark, special counsel of Internet projects at the SEC said. ""It's the same swindles, just in a different medium."" ",AaronPressman
"U.S. laws governing the trillion dollar futures markets could be rocked by the Supreme Court's interpretation of the word ""in"" in a case to be argued Wednesday. But a legislative solution is in the offing. At issue is a 1974 amendment to the Commodity Exchange Act, the primary law regulating trading of futures contracts on everything from wheat and corn to interest rates and electricity.   Futures exchanges say a broad reading of the amendment would put them out of business, while major banks argue a narrow reading would force them to move vast operations out of the United States. Whatever the outcome, Congressional action is expected next year. ""It's certainly significant, but I suspect that at the end of the day, legislation will overtake this,"" said Howard Schneider, former Commodity Futures Trading Commission general counsel.   When Congress expanded the commodity act in 1974 to cover futures on non-agricultural commodities and created the Commodity Futures Trading Commission to police the markets, some big banks objected. They argued the law should not apply to trading of foreign currency, government securities and similiar items already flourishing among banks and securities firms. The Treasury Department agreed and in a letter to Congress suggested an amendment to the law that became known as the Treasury Amendment.   The amendment says ""transactions in"" foreign currency, security warrants, repurchase options, government securities and a few other items are exempt from the Commodity Exchange Act unless they involve sale for future delivery conducted ""on a board of trade."" The banks continued to trade foreign currencies unimpeded but the CFTC began to encounter a new problem. Unscrupulous ""bucket shops"" that peddled off-exchange commodity contracts to rip off unsuspecting investors were expanding into foreign currency schemes.   The CFTC shut down the forex shops but lawyers for the shops argued forex investment contracts should be considered transactions ""in"" foreign currency and exempt from CFTC rules. Lower federal courts took up the issue but reached conflicting conclusions. Some said ""transactions in foreign currency"" exempted dealings only with actual currencies, not derivatives on the currencies like futures and options. Others decided that ""in"" exempted all trading involving currencies. The Supreme Court will likely resolve that conflict in Wednesday's case concerning William Dunn, the manager of a $180 million hedge fund investing in foreign currencies.   In November, 1993, Dunn told his investors he had lost $95 million. The CFTC soon charged Dunn with fraud under the Commodity Exchange Act. A lower court agreed. Asking the Supreme Court to uphold that decision, CFTC lawyers argue that Congress would have used the word ""involving"" rather than ""in"" if it had wanted to exempt forex derivatives. But Dunn's lawyers and four banks that dealt with his fund maintain that the CFTC has no jurisdiction to prosecute under the commodity act.   Affirming the earlier decision would undermine the $40 billion a day global currency market by subjecting it to unworkable regulation, the banks said. And Dunn, if guilty of any misconduct, could be prosecuted under wire fraud or securities laws, the banks said. At the other extreme, the Chicago futures exchanges appear terrified the court will strike down the lower court ruling.   Chicago Board of Trade, in an amicus brief written in part by Kenneth Starr, the independent counsel in the Whitewater investigation, warned that a broad reading of the exemption would create havoc, allowing unregulated dealings in all kinds of futures contracts now traded on exchanges. ""The idea that someone could clone the Board of Trade's principal products, trade them off-exchange and not be subject to any regulation is pretty darn troublesome,"" Mark Young, another exchange attorney, said. A ruling is not expected for months, but the banks and exchanges will have to continue their struggle in the legislative venue almost immediately. Congress could resolve the dispute through legislation, which would render the decision moot. One bill was introduced in the last Congress to amend the Treasury Amendment and Senator Richard Lugar (R-IN) has said he will likely offer a new bill early next year. -- 202-898-8312 ",AaronPressman
"Supreme Court justices Wednesday sharply questioned rules governing so-called derivative investments and foreign currency trading in a case that could have wide repercussions for both markets. The Commodity Futures Trading Commission has traditionally prosecuted crooks who ripped off the public with fraudulent investments. But sophisticated investors such as big banks have been allowed to trade similiar financial instruments with little direct regulation, market participants said. That distinction has been blurred in recent years, as defendants accused of fraud by the CFTC have sought to rely on an exemption from regulation, relied on by the bigger players, in a 1974 amendment to the Commodity Exchange Act. The amendment was added at the request of the Treasury Department to ensure that sophisticated investors trading in foreign currency and a few other markets would not be subject to uneccessary regulation by the CFTC. Lower courts have made conflicting rulings about the 1974 amendment and the Supreme Court decided last year to hear the case of William Dunn, a foreign currency investment advisor charged with fraud by the CFTC after losing $95 million of his clients' money. Jeffrey Minear, assistant to the Solicitor General -- the federal government's representative before the Supreme Court -- defended the CFTC's prosecution of Dunn before the court Wednesday. Minear argued that the 1974 exemption for ""transactions in foreign currency"" did not cover Dunn's trading in foreign currency options, one type of derivative. A derivative is an investment whose value is derived from a stock, bond, currency, commodity or other instrument. But justices questioned Minear's distinction, which relied heavily on the particular meaning of the word ""in."" Congress was ""not using consistent language"" in the commodity laws passed in 1974 and since then, Justice Antonin Scalia said. ""They use in, they use on, they use involving."" Minear drew a sharp rebuke from Chief Justice William Rehnquist when he later argued that Congress expressed greater concern about fraudulent use of options than other types of investments under a 1922 commodity trading law. ""Perhaps it was true in 1922 but that doesn't prove it's true now,"" the chief justice interjected. Gary Stumpp, Dunn's lawyer, argued that other federal agencies such as the Securities and Exchange Commission might have jurisdiction over fraudulent foreign exchange trading but not the CFTC. Several Wall Street trade groups and big banks filed friend-of-the-court briefs in support of Dunn's position. They warned that if the court upheld the CFTC's position, the burden of additional regulation might drive the gigantic $40 billion a day foreign exchange market in the United States might overseas. On the other side, Chicago futures exchanges said they could be put out of business by unregulated competitors if the court throws out the CFTC's case against Dunn. Brooksley Born, chairwoman of the CFTC, attended the argument but declined to comment afterwards. A decision is not expected for at least a few months. Several members of Congress have said they may introduce legislation early next year to change the 1974 amendment, possibly rendering the verdict in the Dunn case moot. ",AaronPressman
"The Internet continued to grow in leaps and bounds this year while online services found it much harder to add new customers, a survey said Friday. An estimated 35 million adults in the United States had used the Internet, according to the poll by Louis Harris and Associates conducted in late September, up from 27 million at the beginning of the year. ""Although the number of people who use computers has fluctuated around just over half of the adult population, the number of adult Americans using computers for cyber-activities is growing,"" said Humphrey Taylor, chairman of the polling organisation. While online services like America Online Inc. and Compuserve Corp. could lay claim to almost 41 million subscribers, that was the same level Harris found back in January. Online services, which provide private online content in addition to Internet access, have faced greater competition this year from companies like AT&amp;T Corp., which provide cheaper Internet-only access. Businesses, which are looking to the Internet as a potential source of new revenue, are intensely interested in figures on its usage. Differing surveys have come up with widely varying numbers. The Harris poll found that, although more people are getting wired, they are on average spending less time in cyberspace. Home users said they were online 2.8 hours a week, down from three hours a week in an April survey. Business and other users said they were online for 1.8 hours, down from two hours in April. The poll also reinforced findings of earlier studies showing that more educated people were more likely to use computers and access the Internet. People with college and graduate degrees were twice as likely to use computers and four times more likely to access the Internet as people who only graduated from high school, the poll found. The poll's results were based on a telephone survey of 1,032 adults at the end of September and have a margin of error of plus or minus 3 percentage points, according to Harris. ",AaronPressman
