company,job,job_desc,location,url,job_type
Micro Focus,Core Java Developer,"Core Java Developer

Job Description:

At Micro Focus, everything we do is based on a simple idea: The fastest way to get results is to build on what you have. Our software solutions enable organizations to do just that. Secure and scalable, with analytics built in, they bridge the gap between existing and emerging IT—fast-tracking digital transformations across DevOps, Hybrid IT, Security, and Predictive Analytics. In the race to innovate, Micro Focus customers have the clear advantage.
Our portfolio spans the following areas: DevOps | IT Operations| Cloud | Security | Info Governance | Big Data, Machine Learning, & Analytics
Product Brief:
Customers are demanding a comprehensive well integrated Identity Governance and Administration (IGA) solution. The current IGA product components have a disparate way of storing/operating on Identities. Having the Identity and the associated Identity information to be residing on a single store and modeled for the IGA solution is of paramount importance. This common identity source, would be the store for Identity across IGA components and will help in achieving a better integration and an consistent view of Identity and Identity attributes with other security products.
Exp: 3– 8 yrs
Responsibilities Include:
Translate business requirements using complex methods/models to determine appropriate system solutions
Identifying issues and proposing solutions
Research, identify, test, certify, and select technology required for solution delivery
Reviewing requirements and authoring / reviewing design documents
Research, debug and resolve customer issues
Providing input for product documentation
Skills:
Experienced in programming (preferably in Server side) using Core Java (for ex: Java collections, Threading, Garbage collections etc.)
Very good understanding of how java works and JVM internals
Experience with Cloud technologies
Experience developing As-A-Service capabilities
Good understanding of XML, XSLT, XPATH
Very good troubleshooting skills including ability to analyze core dumps and profile code for memory leaks.
Exposure to Objected oriented programming
Strong analytical and problem resolution skills
Desirable:
Experience with SOAP, REST services
DevOps Exposure - Containerization / Virtualization
Exposure to Analytics / Reporting related product capabilities
Exposure to different technologies like messaging, databases and directory services
Troubleshooting and debugging skills on Windows. Knowledge of windows debugging tool like windbg, GFlags, ProcDump etc.
Experience with iOS / Android programming
Experience with communication protocols such as LDAP, TCP/IP is desirable
Experience in programming using C++
#LI-SP1
Job:
Engineering

Micro Focus is proud to be an Equal Opportunity Employer. Prospective employees will receive consideration without discrimination because of race, colour, religion, creed, gender, national origin, age, disability, marital or veteran status, sexual orientation, genetic information, citizenship or any other legally protected status",Bangalore,https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0BduEgvIgdT7EDM_O2GxHkw7QoaouEWjxefAvaX3ZwZ9tYBt705y4baMnhcBFo_61Er-rE59t0DIcl816jpSPhQlE2-XsX8ZtBLxXVsMZdq8VWbZfs3uXN1oqCxQ7zxUL2JTHVmAEZthPELVwvCHZbFrB3tIdsJjbOFUpz0K2HwBINaNG626-o_jdw8p7rzTekon6VgVOO5j2qDnM4GTUozfkxTenNqERT44HK0WSuLDDfSG_x0cXluLavqObO6EkI4T7-q7sso-x27mktqW3Arj7E_KANMUw_Lp4f_Q3nlNJ3mBmPOG01TKVZanX-aTB1iQ0DSJM23__BJoo5W4Kng1TTqAeFvd9pMulxKAjmRD1rRjtM7LrXxU-DR6bj6UlXPBBpNcfnoCZo2vutV7pOXE5sHe4KEJoo=&p=0&fvj=0&vjs=3&tk=1dem305pq99qf800&jsa=1274&oc=1&sal=0,Android Developer
MS Clinical Research (P) Ltd,Android App Developer,"Job Summary
Over 3 years experience designing, developing, integrating, and supporting Android App development
Apply in-depth understanding of business and IT requirements to streamline administration and internal processes, resulting in enhanced automation and operational efficiency.
Manage multiple projects simultaneously. Learn and apply new technologies quickly.
Expert knowledge of numerous programming languages, including ANDROID,JAVA, JSON, XML, HTML, AWS.
Superior communication, presentation, analytical, and problem-solving skills.
Microsoft Certified Application Developer.
Job Types: Part-time, Temporary, Contract
Experience:
Android development: 3 years (Required)
work: 3 years (Required)
Java: 3 years (Required)
Education:
Bachelor's (Required)",Bangalore,https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0BduEgvIgdT7EDM_O2GxHkw7QoaouEWjxefAvaX3ZwZ9tYBt705y4baMnhcBFo_61Er-rE59t0DIcl816jpSPhQlE2-XsX8ZtBLxXVsMZdq8VWbZfs3uXN1oqCxQ7zxUL2JTHVmAEZthPELVwvCHZbFrB3tIdsJjbOFUpz0K2HwBINaNG626-o_jdw8p7rzTekon6VgVOO5j2qDnM4GTUozfkxTenNqERT44HK0WSuLDDfSG_x0cXluLavqObO6EkI4T7-q7sso-x27mktqW3Arj7E_KANMUw_Lp4f_Q3nlNJ3mBmPOG01TKVZanX-aTB1iQ0DSJM23__BJoo5W4Kng1TTqAeFvd9pMulxKAjmRD1rRjtM7LrXxU-DR6bj6UlXPBBpNcfnoCZo2vutV7pOXE5sHe4KEJoo=&p=0&fvj=0&vjs=3&tk=1dem305pq99qf800&jsa=1274&oc=1&sal=0,Android Developer
Applied Materials Inc.,Software Engineer – Unity Developer,"Company Introduction
Applied Materials , Inc. is the global leader in materials engineering solutions for the semiconductor, flat panel display and solar photovoltaic (PV) industries. appliedx is an innovation driven group within the company focusing on the application of VR, AR, MR technologies from product design to product support.
Job Description:
We are seeking a developer responsible for building interactive experiences for various target platforms based on the Unity framework. Your primary responsibilities will be to implement interactive functionality translating design ideas, concepts, and requirements into a functional and engaging experience. A commitment to collaborative problem solving, sophisticated design, and a quality product are essential. Your responsibilities will include -
Implement interactive functionality as per communicated design
Translate design specification into functional deliverable and keeping the code scalable and robust
Communicate with other team members to establish effective pipeline and integrate media assets
Design, build, and maintain efficient, reusable, and reliable code
Ensure the best possible performance, quality, and responsiveness of applications
Identify bottlenecks and bugs, and devise solutions to address and mitigate these problems
Help maintain code quality, organization, and automatization
Contribute ideas to make the asset pipeline more efficient.
Minimum Skills Required:
Excellent knowledge of Unity, including scripting, textures, animation and GUI styles
3+ years of experience with object oriented programming in C#
Familiarity with level design and planning
2+ years of experience with Unity game physics
2+ years of experience with 3D graphics development
Familiarity with current design and architectural patterns
Skilled at writing clean, readable, and easily maintainable code
1+ years of experience with pipeline and asset management automation
Experience implementing automated testing platforms and unit tests
Proficient knowledge of code versioning tools such as Git, SVN
Minimum Bachelor's degree in Computer science, game design and development or similar fields OR equivalent work experience
Preferred skills:
Experience with Hololens, HTC Vive, Oculus, Google Cardboard and other leading AR/VR platforms
3D generalist skills - modeling, texturing, UV and lighting
Prior experience with a well-known mobile title or AAA titles is a significant asset
Knowledge of iOS/Android and related development tools
Qualifications
Education:
Bachelor's Degree
Skills
Certifications:
Languages:
Years of Experience:
7 - 10 Years
Work Experience:
Additional Information
Travel:
Yes, 20% of the Time
Relocation Eligible:
Yes
Applied Materials is committed to diversity in its workforce including Equal Employment Opportunity for Minorities, Females, Protected Veterans and Individuals with Disabilities.",Bangalore,https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0BduEgvIgdT7EDM_O2GxHkw7QoaouEWjxefAvaX3ZwZ9tYBt705y4baMnhcBFo_61Er-rE59t0DIcl816jpSPhQlE2-XsX8ZtBLxXVsMZdq8VWbZfs3uXN1oqCxQ7zxUL2JTHVmAEZthPELVwvCHZbFrB3tIdsJjbOFUpz0K2HwBINaNG626-o_jdw8p7rzTekon6VgVOO5j2qDnM4GTUozfkxTenNqERT44HK0WSuLDDfSG_x0cXluLavqObO6EkI4T7-q7sso-x27mktqW3Arj7E_KANMUw_Lp4f_Q3nlNJ3mBmPOG01TKVZanX-aTB1iQ0DSJM23__BJoo5W4Kng1TTqAeFvd9pMulxKAjmRD1rRjtM7LrXxU-DR6bj6UlXPBBpNcfnoCZo2vutV7pOXE5sHe4KEJoo=&p=0&fvj=0&vjs=3&tk=1dem305pq99qf800&jsa=1274&oc=1&sal=0,Android Developer
Shaw Academy,Lead Mobile Developer,"Senior Mobile App Developer/Lead (Android or iOS)
Shaw Academy is seeking a Mobile Development Lead, initially to be the hands-on coder for our apps and then to build a team aroundyou. The role will evolve into Solution Design, people Leadership and become a senior leader in the tech team, whilst continuing or have some hands-on involvement.
This is your chance to join one of Ireland’s fastest growing companies and Europe’s largest EdTech firms in the online learning industry.
The Role:
The role involves hands-on coding followed by of solution design, agile process management, and people management.
Develop technical solutions and technical designs
Develop mobile application using either Android OR iOS technology. Having both is desired but not essential
Develop server side code using latest web technologies (PHP/Ruby on Rails)
Own agile sprint planning and mobile app deployment processes
Define future technology choices for us through rigorous R&D for both front-end and server side technologies
Create user interfaces that support varying device formats, work in multiple languages, and adapt to accessibility needs
What you’ll bring to the team
7 years experience in Mobile Development
Experience with B2C or Customer facing Apps
Experience development either iOS OR Android App
Excellent problem solving skills, and proven ability to design solutions
Agile experience
Experience in PHP and/or Ruby on Rails
What we’ll provide
Market beating basic salary.
Monthly bonus structure.
High level Equity in a leading online educational company
Our full range of award winning educational courses - shawacademy.com
A fun and exciting work environment.
A once in a lifetime opportunity to change the world of education forever by joining our rapidly expanding technology-based firm with a foundation of real talent, and work with real innovators whilst achieving your own goals.
Job Type: Full-time",Bangalore,https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0BduEgvIgdT7EDM_O2GxHkw7QoaouEWjxefAvaX3ZwZ9tYBt705y4baMnhcBFo_61Er-rE59t0DIcl816jpSPhQlE2-XsX8ZtBLxXVsMZdq8VWbZfs3uXN1oqCxQ7zxUL2JTHVmAEZthPELVwvCHZbFrB3tIdsJjbOFUpz0K2HwBINaNG626-o_jdw8p7rzTekon6VgVOO5j2qDnM4GTUozfkxTenNqERT44HK0WSuLDDfSG_x0cXluLavqObO6EkI4T7-q7sso-x27mktqW3Arj7E_KANMUw_Lp4f_Q3nlNJ3mBmPOG01TKVZanX-aTB1iQ0DSJM23__BJoo5W4Kng1TTqAeFvd9pMulxKAjmRD1rRjtM7LrXxU-DR6bj6UlXPBBpNcfnoCZo2vutV7pOXE5sHe4KEJoo=&p=0&fvj=0&vjs=3&tk=1dem305pq99qf800&jsa=1274&oc=1&sal=0,Android Developer
Letsgettin Private Limited,Android Developer- Freshers,"Job Summary
Position: Android developer
Education: Bachelor's
Required candidates: Freshers
Responsibilities and Duties
Design and build advanced applications for the Android platform
Collaborate with cross-functional teams to define, design, and ship new features
Work with outside data sources and APIs
Unit-test code for robustness, including edge cases, usability, and general reliability
Work on bug fixing and improving application performance
Continuously discover, evaluate, and implement new technologies to maximize development efficiency
Job Types: Full-time, Fresher
Salary: ₹180,000.00 to ₹600,000.00 /year
Education:
Bachelor's (Required)",Bangalore,https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0BduEgvIgdT7EDM_O2GxHkw7QoaouEWjxefAvaX3ZwZ9tYBt705y4baMnhcBFo_61Er-rE59t0DIcl816jpSPhQlE2-XsX8ZtBLxXVsMZdq8VWbZfs3uXN1oqCxQ7zxUL2JTHVmAEZthPELVwvCHZbFrB3tIdsJjbOFUpz0K2HwBINaNG626-o_jdw8p7rzTekon6VgVOO5j2qDnM4GTUozfkxTenNqERT44HK0WSuLDDfSG_x0cXluLavqObO6EkI4T7-q7sso-x27mktqW3Arj7E_KANMUw_Lp4f_Q3nlNJ3mBmPOG01TKVZanX-aTB1iQ0DSJM23__BJoo5W4Kng1TTqAeFvd9pMulxKAjmRD1rRjtM7LrXxU-DR6bj6UlXPBBpNcfnoCZo2vutV7pOXE5sHe4KEJoo=&p=0&fvj=0&vjs=3&tk=1dem305pq99qf800&jsa=1274&oc=1&sal=0,Android Developer
Sewak Solution Limited,Android Developer,"Job Summary
We are looking for an Android developer responsible for the development and maintenance of applications aimed at a vast number of diverse Android devices. Following are the required Technical and Professional Expertise:
Responsibilities and Duties
Proven knowledge of Android SDK, different versions of Android, and how to deal with different screen sizes
Familiarity with Restful APIs to connect Android applications to back-end services
Proven knowledge of Android UI design principles, patterns, and best practices
Experience with offline storage, threading, and performance tuning
Ability to design applications around natural user interfaces, such as “touch”
Familiarity with the use of additional sensors, such as gyroscopes and accelerometers
Knowledge of the open-source Android ecosystem and the libraries available for common tasks
Ability to understand business requirements and translate them into technical requirements
Familiarity with cloud message APIs and push notifications
A knack for benchmarking and optimization
Understanding of Google’s Android design principles and interface guidelines
Proficient understanding of code versioning tools, such as Git.
Familiarity with continuous integration
Job Type: Full-time
Salary: ₹22,000.00 to ₹25,000.00 /month
Experience:
Android development: 1 year (Preferred)
work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)",Bangalore,https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0BduEgvIgdT7EDM_O2GxHkw7QoaouEWjxefAvaX3ZwZ9tYBt705y4baMnhcBFo_61Er-rE59t0DIcl816jpSPhQlE2-XsX8ZtBLxXVsMZdq8VWbZfs3uXN1oqCxQ7zxUL2JTHVmAEZthPELVwvCHZbFrB3tIdsJjbOFUpz0K2HwBINaNG626-o_jdw8p7rzTekon6VgVOO5j2qDnM4GTUozfkxTenNqERT44HK0WSuLDDfSG_x0cXluLavqObO6EkI4T7-q7sso-x27mktqW3Arj7E_KANMUw_Lp4f_Q3nlNJ3mBmPOG01TKVZanX-aTB1iQ0DSJM23__BJoo5W4Kng1TTqAeFvd9pMulxKAjmRD1rRjtM7LrXxU-DR6bj6UlXPBBpNcfnoCZo2vutV7pOXE5sHe4KEJoo=&p=0&fvj=0&vjs=3&tk=1dem305pq99qf800&jsa=1274&oc=1&sal=0,Android Developer
VICIPRO Technologies,Android Developer,"We are looking for an Android Developer who possesses a passion for pushing mobile technologies to the limits. This Android app developer will work with our team of talented engineers to design and build the next generation of our mobile applications.
Location: Bengaluru
Requirements :
BS/MS degree in Computer Science, Engineering or a related subject.
Preferred experience level 1 - 3 years only.
Have published at least one or more original Android app.
Experience with Android SDK and working remote data via REST and JSON.
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies.
Solid understanding of the full mobile development life cycle.
Responsibilities:
Design and build advanced applications for the Android platform.
Collaborate with cross-functional teams to define, design, and ship new features.
Work with outside data sources and APIs. Unit-test code for robustness, including edge cases, usability, and general reliability.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.",Bangalore,https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0BduEgvIgdT7EDM_O2GxHkw7QoaouEWjxefAvaX3ZwZ9tYBt705y4baMnhcBFo_61Er-rE59t0DIcl816jpSPhQlE2-XsX8ZtBLxXVsMZdq8VWbZfs3uXN1oqCxQ7zxUL2JTHVmAEZthPELVwvCHZbFrB3tIdsJjbOFUpz0K2HwBINaNG626-o_jdw8p7rzTekon6VgVOO5j2qDnM4GTUozfkxTenNqERT44HK0WSuLDDfSG_x0cXluLavqObO6EkI4T7-q7sso-x27mktqW3Arj7E_KANMUw_Lp4f_Q3nlNJ3mBmPOG01TKVZanX-aTB1iQ0DSJM23__BJoo5W4Kng1TTqAeFvd9pMulxKAjmRD1rRjtM7LrXxU-DR6bj6UlXPBBpNcfnoCZo2vutV7pOXE5sHe4KEJoo=&p=0&fvj=0&vjs=3&tk=1dem305pq99qf800&jsa=1274&oc=1&sal=0,Android Developer
Telloquent IT Solutions,Android Developer,"Job Summary
Looking for a Android Developer for Bangalore Location
Responsibilities and Duties
Job description
Implementing, and enhancing the Android mobile application.
Responsible for choosing libraries and frameworks to best meet the needs of the application.
Working on rest API's using retrofeet
Working on RX JAVA and Maps
Ensure the best possible performance, quality, and responsiveness of the application.
Working on Indoor Maps/Floor Maps
Exp: 2-4 years
Only immediate joiner will be preferred.
Job Type: Full-time
Job Type: Full-time
Salary: ₹250,000.00 to ₹600,000.00 /year
Experience:
Android Developer: 1 year (Preferred)",Bangalore,https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0BduEgvIgdT7EDM_O2GxHkw7QoaouEWjxefAvaX3ZwZ9tYBt705y4baMnhcBFo_61Er-rE59t0DIcl816jpSPhQlE2-XsX8ZtBLxXVsMZdq8VWbZfs3uXN1oqCxQ7zxUL2JTHVmAEZthPELVwvCHZbFrB3tIdsJjbOFUpz0K2HwBINaNG626-o_jdw8p7rzTekon6VgVOO5j2qDnM4GTUozfkxTenNqERT44HK0WSuLDDfSG_x0cXluLavqObO6EkI4T7-q7sso-x27mktqW3Arj7E_KANMUw_Lp4f_Q3nlNJ3mBmPOG01TKVZanX-aTB1iQ0DSJM23__BJoo5W4Kng1TTqAeFvd9pMulxKAjmRD1rRjtM7LrXxU-DR6bj6UlXPBBpNcfnoCZo2vutV7pOXE5sHe4KEJoo=&p=0&fvj=0&vjs=3&tk=1dem305pq99qf800&jsa=1274&oc=1&sal=0,Android Developer
AppOBIT Technologies,Android Developer,"As an Android Developer you will be responsible for design and development of Android applications. You must be comfortable with Android Studios and knowledgable of latest Android SDK including Android Pie. A strong programming skills using Java and clear OOP concepts is also expected.
Salary: INR 2,50,000 - 5,00,000 P.A.
Industry: IT-Software, Software Services
Functional Area: IT Software - Application Programming , Maintenance
Role Category: Programming & Design
Role: Software Developer
Employment Type: Permanent Job, Full Time
Education-
UG: Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization, B.Sc - Any Specialization
Job Type: Full-time",Bangalore,https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0BduEgvIgdT7EDM_O2GxHkw7QoaouEWjxefAvaX3ZwZ9tYBt705y4baMnhcBFo_61Er-rE59t0DIcl816jpSPhQlE2-XsX8ZtBLxXVsMZdq8VWbZfs3uXN1oqCxQ7zxUL2JTHVmAEZthPELVwvCHZbFrB3tIdsJjbOFUpz0K2HwBINaNG626-o_jdw8p7rzTekon6VgVOO5j2qDnM4GTUozfkxTenNqERT44HK0WSuLDDfSG_x0cXluLavqObO6EkI4T7-q7sso-x27mktqW3Arj7E_KANMUw_Lp4f_Q3nlNJ3mBmPOG01TKVZanX-aTB1iQ0DSJM23__BJoo5W4Kng1TTqAeFvd9pMulxKAjmRD1rRjtM7LrXxU-DR6bj6UlXPBBpNcfnoCZo2vutV7pOXE5sHe4KEJoo=&p=0&fvj=0&vjs=3&tk=1dem305pq99qf800&jsa=1274&oc=1&sal=0,Android Developer
Bazapay Online Services Private Limited,Android Developer,"Responsibilities and Duties
* Design and build advanced applications for the Android platform
* Collaborate with cross-functional teams to define, design, and ship new features
* Work with outside data sources and APIs
* Unit-test code for robustness, including edge cases, usability, and general reliability
* Work on bug fixing and improving application performance
* Continuously discover, evaluate, and implement new technologies to maximize development efficiency
Qualifications and Skills
* Any Graduated degree in Computer Science, Engineering or a related subject
* Proven software development experience and Android skills development
* Proven working experience in Android app development and
* Have published at least one original Android app
* Experience with Android SDK
* Experience working with remote data via REST and JSON
* Experience with third-party libraries and APIs
* Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies
* Solid understanding of the full mobile development life cycle.
Job Type: Full-time
Salary: ₹400,000.00 to ₹600,000.00 /year
Experience:
Android development: 1 year (Required)
work: 1 year (Required)
Education:
Bachelor's (Required)",Bangalore,https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0BduEgvIgdT7EDM_O2GxHkw7QoaouEWjxefAvaX3ZwZ9tYBt705y4baMnhcBFo_61Er-rE59t0DIcl816jpSPhQlE2-XsX8ZtBLxXVsMZdq8VWbZfs3uXN1oqCxQ7zxUL2JTHVmAEZthPELVwvCHZbFrB3tIdsJjbOFUpz0K2HwBINaNG626-o_jdw8p7rzTekon6VgVOO5j2qDnM4GTUozfkxTenNqERT44HK0WSuLDDfSG_x0cXluLavqObO6EkI4T7-q7sso-x27mktqW3Arj7E_KANMUw_Lp4f_Q3nlNJ3mBmPOG01TKVZanX-aTB1iQ0DSJM23__BJoo5W4Kng1TTqAeFvd9pMulxKAjmRD1rRjtM7LrXxU-DR6bj6UlXPBBpNcfnoCZo2vutV7pOXE5sHe4KEJoo=&p=0&fvj=0&vjs=3&tk=1dem305pq99qf800&jsa=1274&oc=1&sal=0,Android Developer
